,alpha,beta,gamma,tau,scf_cs,nn_scf_cs
309,40,0.3,8,0.6,5.894877624,6.044819
310,4,0.4,8,0.6,4.520890476,4.73289
311,13,0.4,8,0.6,6.477104375,6.4563913
312,22,0.4,8,0.6,6.462146945,6.466691
313,31,0.4,8,0.6,6.495266368,6.4375553
314,40,0.4,8,0.6,6.481702156,6.39904
315,4,0.5,8,0.6,4.445800484,4.6627164
316,13,0.5,8,0.6,6.703333505,6.5901074
317,22,0.5,8,0.6,6.707959203,6.597773
318,31,0.5,8,0.6,6.707761186,6.5599494
319,40,0.5,8,0.6,6.707819667,6.513314
320,4,0.6,8,0.6,4.068628262,4.174468
321,13,0.6,8,0.6,6.478439416,6.2576547
322,22,0.6,8,0.6,6.488389757,6.250066
323,31,0.6,8,0.6,6.495102761,6.237028
324,40,0.6,8,0.6,6.533192315,6.2482824
325,4,0.7,8,0.6,4.127733434,4.2746525
326,13,0.7,8,0.6,6.661352709,6.1475296
327,22,0.7,8,0.6,6.665835426,6.2151556
328,31,0.7,8,0.6,6.640432279,6.1556726
329,40,0.7,8,0.6,6.641634659,6.1048055
330,4,0.2,14,0.6,5.538436272,5.587168
331,13,0.2,14,0.6,7.889721366,8.158376
332,22,0.2,14,0.6,7.928790544,8.004272
333,31,0.2,14,0.6,7.918578695,7.6131325
334,40,0.2,14,0.6,7.930634147,7.5747223
335,4,0.3,14,0.6,5.906453032,5.7731137
336,13,0.3,14,0.6,9.742897397,9.739221
337,22,0.3,14,0.6,9.804189282,10.048164
338,31,0.3,14,0.6,9.807864348,10.122684
339,40,0.3,14,0.6,9.807854787,10.091339
340,4,0.4,14,0.6,5.759923228,5.709701
341,13,0.4,14,0.6,10.99897076,10.981435
342,22,0.4,14,0.6,11.07721906,11.235079
343,31,0.4,14,0.6,11.08199406,11.225099
344,40,0.4,14,0.6,11.08181302,11.180725
345,4,0.5,14,0.6,5.35518093,5.5486064
346,13,0.5,14,0.6,11.69760279,11.594075
347,22,0.5,14,0.6,11.78309614,11.843297
348,31,0.5,14,0.6,11.78820434,11.831832
349,40,0.5,14,0.6,11.78845057,11.791684
350,4,0.6,14,0.6,5.003072861,5.1868644
351,13,0.6,14,0.6,11.79993619,11.561189
352,22,0.6,14,0.6,11.88363728,11.778133
353,31,0.6,14,0.6,11.8886285,11.752994
354,40,0.6,14,0.6,11.88867346,11.713987
355,4,0.7,14,0.6,4.56328775,4.802234
356,13,0.7,14,0.6,10.82686463,10.736033
357,22,0.7,14,0.6,10.8963449,10.883766
358,31,0.7,14,0.6,10.90019444,10.818644
359,40,0.7,14,0.6,10.90106599,10.75704
360,4,0.2,20,0.6,7.318417832,7.6116157
361,13,0.2,20,0.6,10.85188402,10.614198
362,22,0.2,20,0.6,11.10033936,10.941123
363,31,0.2,20,0.6,11.10756218,10.137132
364,40,0.2,20,0.6,7.786506332,8.92928
365,4,0.3,20,0.6,7.432783778,7.570095
366,13,0.3,20,0.6,13.31374631,13.227118
367,22,0.3,20,0.6,13.71049133,13.845151
368,31,0.3,20,0.6,13.7222046,13.79633
369,40,0.3,20,0.6,13.7235453,13.645374
370,4,0.4,20,0.6,6.959956912,7.019567
371,13,0.4,20,0.6,15.29223344,15.215957
372,22,0.4,20,0.6,15.80997883,15.989101
373,31,0.4,20,0.6,15.82579609,16.03878
374,40,0.4,20,0.6,15.82783236,15.997936
375,4,0.5,20,0.6,6.318805328,6.3341165
376,13,0.5,20,0.6,16.7204533,16.584232
377,22,0.5,20,0.6,17.30488005,17.349638
378,31,0.5,20,0.6,17.32243763,17.390991
379,40,0.5,20,0.6,17.3248219,17.36683
380,4,0.6,20,0.6,5.945275321,5.9761357
381,13,0.6,20,0.6,17.4464485,17.090263
382,22,0.6,20,0.6,18.02049788,17.76941
383,31,0.6,20,0.6,18.03703619,17.770227
384,40,0.6,20,0.6,18.03927592,17.73247
385,4,0.7,20,0.6,5.91421251,5.7861743
386,13,0.7,20,0.6,17.23225624,16.856264
387,22,0.7,20,0.6,17.70154367,17.426558
388,31,0.7,20,0.6,17.71646879,17.377813
389,40,0.7,20,0.6,17.71845206,17.311188
390,4,0.2,26,0.6,9.20933763,9.414315
391,13,0.2,26,0.6,13.63354423,13.567742
392,22,0.2,26,0.6,14.3677409,14.602745
393,31,0.2,26,0.6,14.37715364,14.491859
394,40,0.2,26,0.6,14.38138648,14.05743
395,4,0.3,26,0.6,9.227193118,9.390441
396,13,0.3,26,0.6,16.74584915,16.626413
397,22,0.3,26,0.6,17.93664604,17.904661
398,31,0.3,26,0.6,17.95284677,18.035849
399,40,0.3,26,0.6,17.96109383,18.004818
400,4,0.4,26,0.6,8.259716184,8.638589
401,13,0.4,26,0.6,19.07001673,19.080196
402,22,0.4,26,0.6,20.63963685,20.739868
403,31,0.4,26,0.6,20.66087888,20.860842
404,40,0.4,26,0.6,20.67219082,20.821737
405,4,0.5,26,0.6,7.257075771,7.5514846
406,13,0.5,26,0.6,20.84504523,20.782658
407,22,0.5,26,0.6,22.63743251,22.55546
408,31,0.5,26,0.6,22.66136358,22.659883
409,40,0.5,26,0.6,22.67418532,22.627289
410,4,0.6,26,0.6,6.758356777,7.0195966
411,13,0.6,26,0.6,21.88124808,21.562225
412,22,0.6,26,0.6,23.65003873,23.279186
413,31,0.6,26,0.6,23.67339982,23.354553
414,40,0.6,26,0.6,23.68547998,23.323978
415,4,0.7,26,0.6,6.765649966,6.7796702
416,13,0.7,26,0.6,21.71598445,21.628132
417,22,0.7,26,0.6,23.16669022,23.127436
418,31,0.7,26,0.6,23.190902,23.15697
419,40,0.7,26,0.6,23.20079203,23.114407
420,4,0.2,32,0.6,11.03053786,11.248506
421,13,0.2,32,0.6,16.03949693,16.129953
422,22,0.2,32,0.6,17.49562589,17.697784
423,31,0.2,32,0.6,17.5192879,17.83885
424,40,0.2,32,0.6,17.52956104,17.757687
425,4,0.3,32,0.6,10.96838504,11.470007
426,13,0.3,32,0.6,19.65103959,19.36858
427,22,0.3,32,0.6,22.05138207,21.919418
428,31,0.3,32,0.6,22.09066935,22.126947
429,40,0.3,32,0.6,22.10866647,22.090452
430,4,0.4,32,0.6,9.612747453,10.488564
431,13,0.4,32,0.6,22.28130092,22.098522
432,22,0.4,32,0.6,25.49621014,25.302074
433,31,0.4,32,0.6,25.54823851,25.528889
434,40,0.4,32,0.6,25.57236839,25.472616
435,4,0.5,32,0.6,8.169913244,8.941925
436,13,0.5,32,0.6,23.99127,23.917755
437,22,0.5,32,0.6,27.67313347,27.759935
438,31,0.5,32,0.6,27.73151441,27.930141
439,40,0.5,32,0.6,27.75852133,27.832645
440,4,0.6,32,0.6,7.596216498,8.116963
441,13,0.6,32,0.6,25.32377682,25.1025
442,22,0.6,32,0.6,29.00667543,28.895979
443,31,0.6,32,0.6,29.06517009,28.982006
444,40,0.6,32,0.6,29.09110221,28.8553
445,4,0.7,32,0.6,7.815409586,7.8421173
446,13,0.7,32,0.6,25.87122211,25.679365
447,22,0.7,32,0.6,29.0136345,29.045881
448,31,0.7,32,0.6,29.07137985,29.069235
449,40,0.7,32,0.6,29.09278273,28.928991
450,4,0.2,8,0.8,4.952867621,4.988039
451,13,0.2,8,0.8,6.228151499,6.2608724
452,22,0.2,8,0.8,6.229920826,6.2208357
453,31,0.2,8,0.8,6.233396776,6.1532173
454,40,0.2,8,0.8,6.230738278,6.1605206
455,4,0.3,8,0.8,5.984280503,5.81687
456,13,0.3,8,0.8,8.071645383,7.868168
457,22,0.3,8,0.8,8.074466577,8.041293
458,31,0.3,8,0.8,8.077745792,8.107659
459,40,0.3,8,0.8,8.074494601,8.106112
460,4,0.4,8,0.8,5.591795752,5.6914945
461,13,0.4,8,0.8,8.100810083,8.179373
462,22,0.4,8,0.8,8.106840007,8.19954
463,31,0.4,8,0.8,8.105913669,8.19649
464,40,0.4,8,0.8,8.107858703,8.190497
465,4,0.5,8,0.8,5.552255396,5.5347853
466,13,0.5,8,0.8,8.380918429,8.400218
467,22,0.5,8,0.8,8.389009342,8.327241
468,31,0.5,8,0.8,8.386449383,8.237725
469,40,0.5,8,0.8,8.387107339,8.163831
470,4,0.6,8,0.8,5.069717332,5.2549634
471,13,0.6,8,0.8,7.837513388,7.8019443
472,22,0.6,8,0.8,7.849821903,7.809578
473,31,0.6,8,0.8,7.842026607,7.8925953
474,40,0.6,8,0.8,7.843769873,8.000249
475,4,0.7,8,0.8,5.766840604,5.2410192
476,13,0.7,8,0.8,8.916014868,8.28614
477,22,0.7,8,0.8,8.918908774,8.29811
478,31,0.7,8,0.8,8.835481274,8.285123
479,40,0.7,8,0.8,8.715464433,8.244928
480,4,0.2,14,0.8,6.938931652,7.0055943
481,13,0.2,14,0.8,10.05562559,10.0136385
482,22,0.2,14,0.8,7.765840252,10.264547
483,31,0.2,14,0.8,10.11387433,9.585649
484,40,0.2,14,0.8,10.11339775,9.286893
485,4,0.3,14,0.8,7.45522152,7.6204205
486,13,0.3,14,0.8,12.53862894,12.740715
487,22,0.3,14,0.8,12.62478194,12.771496
488,31,0.3,14,0.8,12.62603276,12.651689
489,40,0.3,14,0.8,12.62619867,12.584851
490,4,0.4,14,0.8,7.611049722,7.625958
491,13,0.4,14,0.8,14.5865966,14.706894
492,22,0.4,14,0.8,14.69239498,14.91098
493,31,0.4,14,0.8,14.69895378,14.780476
494,40,0.4,14,0.8,14.69889659,14.556306
495,4,0.5,14,0.8,7.423211162,7.4971995
496,13,0.5,14,0.8,15.90396782,16.01954
497,22,0.5,14,0.8,16.02004718,16.33679
498,31,0.5,14,0.8,16.0269105,16.352777
499,40,0.5,14,0.8,16.02739919,16.309484
500,4,0.6,14,0.8,7.138714665,7.1320376
501,13,0.6,14,0.8,16.3058502,16.251556
502,22,0.6,14,0.8,16.41563682,16.539452
503,31,0.6,14,0.8,16.42191892,16.568123
504,40,0.6,14,0.8,16.42197563,16.573135
505,4,0.7,14,0.8,6.951244262,6.666074
506,13,0.7,14,0.8,15.84303504,15.448451
507,22,0.7,14,0.8,15.93400989,15.710849
508,31,0.7,14,0.8,15.93940174,15.716778
509,40,0.7,14,0.8,15.9394795,15.71708
510,4,0.2,20,0.8,9.590926388,9.682989
511,13,0.2,20,0.8,14.37485772,14.4674015
512,22,0.2,20,0.8,14.7191883,14.802584
513,31,0.2,20,0.8,14.72608725,14.084055
514,40,0.2,20,0.8,10.51314807,12.584429
515,4,0.3,20,0.8,9.919180535,10.091347
516,13,0.3,20,0.8,17.90117302,17.728615
517,22,0.3,20,0.8,18.44432225,18.470585
518,31,0.3,20,0.8,18.46066117,18.542448
519,40,0.3,20,0.8,18.46238402,18.42061
520,4,0.4,20,0.8,9.646082524,9.775619
521,13,0.4,20,0.8,20.92310381,20.689795
522,22,0.4,20,0.8,21.6350289,21.681278
523,31,0.4,20,0.8,21.65595039,21.778187
524,40,0.4,20,0.8,21.65897569,21.715813
